"Region","Year","Population age 15 to 24","Population age 15 to 19","Population coverage (age 15 to 24)","Population coverage (age 15 to 19)","X10q15","X5q15","X5q20","Deaths.age.15to24.median","Deaths.age.15to19.median","Deaths.age.20to24.median"
"Sub-Saharan Africa",2006,79372921,42637502,100,100,31.8315088955198,12.8487295934546,19.2298585547555,252933,110274,142659
"Europe and Central Asia",2006,63331419,31213101,100,100,4.42510616819225,1.912332892329,2.51758774171105,28142,11946,16196
"Middle East and North Africa",2006,37660934,19324129,100,100,5.96801389561274,2.73892905496767,3.23795336519562,22502,10605,11897
"Latin America and Caribbean",2006,52389864,26777285,100,100,5.96843022468929,2.73104621110693,3.2462496714478,31299,14644,16655
"East Asia and Pacific",2006,178979707,92933919,100,100,4.72613721692805,2.13284231972778,2.59883780846023,84465,39682,44783
"North America",2006,22935451,11624469,100,100,4.10292139508517,1.77356069232555,2.33349930540313,9409,4127,5282
"Eastern and Southern Africa",2006,42730951,23021315,100,100,33.0749570083213,12.6348457495195,20.7016737129214,141003,58544,82459
"Eastern Europe and Central Asia",2006,34548226,17237949,100,100,6.14111047599208,2.58194682962392,3.56837700606595,21290,8909,12381
"Western Europe",2006,28783193,13975152,99.99,99.99,2.37205485675729,1.08570379854716,1.28774917237819,6852,3037,3815
"West and Central Africa",2006,36641970,19616187,100,100,30.3934310238233,13.099682322828,17.5232983425307,111930,51730,60200
"World",2006,582856834,302023384,100,100,11.4906849194,4.99432846843339,6.52896424295457,670343,302429,367914
"South Asia",2007,150225396,78295671,100,100,15.5792687106074,6.94610050904151,8.69355450493799,234756,109149,125607
"Sub-Saharan Africa",2007,81376887,43610401,100,100,30.5899934475065,12.4336830737291,18.384902423857,249281,109125,140156
"Europe and Central Asia",2007,62902525,30622626,100,100,4.28706787106148,1.85921220397527,2.43237797390001,27125,11396,15729
"Middle East and North Africa",2007,38259627,19410499,100,100,5.89535851442591,2.6931051440572,3.21090066346255,22605,10474,12131
"Latin America and Caribbean",2007,52624774,26851732,100,100,5.92056838484512,2.71308533142429,3.21620890261732,31194,14589,16605
"East Asia and Pacific",2007,178022058,90715578,100,100,4.57301012307321,2.06471085395299,2.51348889692705,81443,37498,43945
"North America",2007,23160092,11781429,100,100,4.00405288695993,1.7186019001809,2.28938552909956,9266,4053,5213
"Eastern and Southern Africa",2007,43820390,23483523,100,100,31.2183894302457,12.0196357259281,19.4323231498877,136609,56794,79815
"Eastern Europe and Central Asia",2007,34242811,16688256,100,100,5.9613420596849,2.53838191752835,3.43167103385594,20556,8479,12077
"Western Europe",2007,28659714,13934370,99.99,99.99,2.28354877670411,1.04514757777903,1.23969686510086,6569,2917,3652
"West and Central Africa",2007,37556497,20126878,100,100,29.8562702824959,12.9165648947058,17.1613713545737,112671,52331,60340
"World",2007,586571359,301287936,100,100,11.1529470153096,4.90489936294846,6.27884475399496,655676,296285,359391
"South Asia",2008,151981650,78986684,100,100,14.8804773704513,6.70302321450637,8.23263771768321,226926,106246,120680
"Sub-Saharan Africa",2008,83396437,44601682,100,100,29.466088620703,12.0766247813785,17.6020370359961,246139,108378,137761
"Europe and Central Asia",2008,62254428,29869383,100,100,4.09517422433769,1.76352430296719,2.33576910695679,25696,10543,15153
"Middle East and North Africa",2008,38687239,19429951,100,100,5.82504090271307,2.64678238100781,3.18669300460356,22603,10305,12298
"Latin America and Caribbean",2008,52816544,26907867,100,100,5.90233256302808,2.71391903101901,3.19709017588119,31217,14625,16592
"East Asia and Pacific",2008,176669703,87866699,100,100,4.84208581621404,2.22004731314904,2.62787250435755,85816,39060,46756
"North America",2008,23369624,11886034,100,100,3.81776210346529,1.60017801612645,2.22113830402369,8911,3806,5105
"Eastern and Southern Africa",2008,44910621,23942474,100,100,29.473257348879,11.4671424643835,18.2149887555424,132290,55225,77065
"Eastern Europe and Central Asia",2008,33700229,16035459,100,100,5.6738791124521,2.40800424097757,3.27375809485082,19323,7729,11594
"Western Europe",2008,28554199,13833924,99.99,99.99,2.22358617513618,1.01590373452282,1.20891057738364,6373,2814,3559
"West and Central Africa",2008,38485816,20659208,100,100,29.4473067280173,12.7825018887586,16.880580896451,113850,53153,60697
"World",2008,589175625,299548300,100,100,10.9469789468095,4.87811960877534,6.09860908258623,647325,292967,354358
"South Asia",2009,153720837,79652439,100,100,14.3076544486636,6.48679095797127,7.87192703581008,220743,103673,117070
"Sub-Saharan Africa",2009,85421657,45605250,100,100,28.2461718255391,11.6936882792699,16.7483333354918,241777,107281,134496
