iso3,g.whoregion,year,sex,age_group,mort.nh.nr.num,mort.nh.nr.lo.num,mort.nh.nr.hi.num,mort.nh.re.num,mort.nh.re.lo.num,mort.nh.re.hi.num
GMB,AFR,2019,F,0_4,1.82266483762884,0,21.9347141848273,17.1535793874787,6.18622229506505,28.1209364798923
GMB,AFR,2019,F,10_14,0.149387691276294,0,6.27965782414503,1.31229536324763,0,6.27965782414503
GMB,AFR,2019,F,15_19,0.704161367492157,0,13.6337293840926,8.2452638236307,1.42839913158438,15.062128515677
GMB,AFR,2019,F,20_24,1.09321063409184,0,16.9875401392606,13.6958925332014,5.20212246357108,22.1896626028317
GMB,AFR,2019,F,5_9,0.575242641704325,0,12.3226498508765,5.05862311214031,0,12.3226498508765
GMB,AFR,2019,M,0_4,2.28166873252038,0,24.5417126952731,20.5554203757054,8.28456402806886,32.826276723342
GMB,AFR,2019,M,10_14,0.174174406342627,0,6.78064084809712,1.28659587246678,0,6.78064084809712
GMB,AFR,2019,M,15_19,2.20132147872724,0,24.1057310993693,22.2706823624712,10.2178168127865,34.3235479121559
GMB,AFR,2019,M,20_24,3.11880240965206,0,28.6927716920698,37.3216707815061,22.9752849354712,51.668056627541
GMB,AFR,2019,M,5_9,0.642004398322583,0,13.0180991163647,4.98834318116612,0,13.0180991163647
MOZ,AFR,2000,F,0_4,42.6040248248322,0,822.238964688241,330.840138160137,0,822.238964688241
MOZ,AFR,2000,F,10_14,5.8561855760521,0,304.845756714934,42.3857615294041,0,304.845756714934
MOZ,AFR,2000,F,15_19,6.58178714671221,0,323.180133176312,63.8450819154816,0,323.180133176312
MOZ,AFR,2000,F,20_24,10.2182255833496,0,402.680391393845,106.16357660696,0,402.680391393845
MOZ,AFR,2000,F,5_9,22.5502357811292,0,598.20258105147,163.392026363202,0,598.20258105147
MOZ,AFR,2000,M,0_4,53.2960494383546,0,919.645072189146,395.816069798568,0,919.645072189146
MOZ,AFR,2000,M,10_14,6.82930198425657,0,329.200811841478,41.3927295954254,0,329.200811841478
MOZ,AFR,2000,M,15_19,16.7047407219098,0,514.86409741459,139.645084888075,0,514.86409741459
MOZ,AFR,2000,M,20_24,23.6670500513299,0,612.836753992784,234.704147176842,0,612.836753992784
MOZ,AFR,2000,M,5_9,25.1727105229284,0,632.030053463567,160.692789837593,0,632.030053463567
MOZ,AFR,2001,F,0_4,46.7712243925526,0,877.182638735896,363.200387840557,0,877.182638735896
MOZ,AFR,2001,F,10_14,6.42899281906146,0,325.216168007844,46.5316122523968,0,325.216168007844
MOZ,AFR,2001,F,15_19,7.22556718076711,0,344.775684662551,70.089919084096,0,344.775684662551
MOZ,AFR,2001,F,20_24,11.2176941877567,0,429.588311256915,116.54768497142,0,429.588311256915
MOZ,AFR,2001,F,5_9,24.7559272195668,0,638.175689891209,179.37378358984,0,638.175689891209
MOZ,AFR,2001,M,0_4,58.509061004606,0,981.097619752432,434.531767710663,0,981.097619752433
MOZ,AFR,2001,M,10_14,7.49729202495427,0,351.198677278199,45.4414495364551,0,351.198677278199
MOZ,AFR,2001,M,15_19,18.3386705818569,0,549.268359876066,153.304098086269,0,549.268359876066
MOZ,AFR,2001,M,20_24,25.9819797122861,0,653.787747927459,257.661110155731,0,653.787747927459
MOZ,AFR,2001,M,5_9,27.6349123651439,0,674.263582567834,176.410528410385,0,674.263582567834
MOZ,AFR,2002,F,0_4,46.8650708477114,0,864.113583651426,363.929149367623,0,864.113583651426
MOZ,AFR,2002,F,10_14,6.44189259224778,0,320.370805336075,46.6249779258299,0,320.370805336075
MOZ,AFR,2002,F,15_19,7.24006528029805,0,339.638906737792,70.2305544968701,0,339.638906737792
MOZ,AFR,2002,F,20_24,11.2402024895652,0,423.187918618557,116.781537884906,0,423.187918618557
MOZ,AFR,2002,F,5_9,24.8055999840475,0,628.667575074006,179.733697061359,0,628.667575074006
MOZ,AFR,2002,M,0_4,58.6264594272744,0,966.480345915066,435.403655641396,0,966.480345915066
MOZ,AFR,2002,M,10_14,7.51233534034682,0,345.966203838511,45.5326277985522,0,345.966203838511
MOZ,AFR,2002,M,15_19,18.3754671217976,0,541.084866343042,153.611702737495,0,541.084866343042
MOZ,AFR,2002,M,20_24,26.0341125509209,0,644.047030642484,258.178107136982,0,644.047030642484
MOZ,AFR,2002,M,5_9,27.6903618129139,0,664.217797901223,176.764496110804,0,664.217797901223
MOZ,AFR,2003,F,0_4,46.0645164733063,0,844.481546758883,357.712470992252,0,844.481546758883
MOZ,AFR,2003,F,10_14,6.33185146351611,0,313.092211886503,45.8285248455331,0,313.092211886503
MOZ,AFR,2003,F,15_19,7.11638967656418,0,331.92255593233,69.030868321169,0,331.92255593233
MOZ,AFR,2003,F,20_24,11.0481960952622,0,413.573394569888,114.786662611867,0,413.573394569888
MOZ,AFR,2003,F,5_9,24.3818679546753,0,614.384701548462,176.663465974378,0,614.384701548462
